Year,Datetime,Stage,Stadium,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Attendance,Half-time Home Goals,Half-time Away Goals,MatchID
1930,13 Jul 1930 - 15:00 ,Group 1,Pocitos,Montevideo ,France,4,1,Mexico, ,4444,3,0,1096
1930,13 Jul 1930 - 15:00 ,Group 4,Parque Central,Montevideo ,USA,3,0,Belgium, ,18346,2,0,1090
1930,14 Jul 1930 - 12:45 ,Group 2,Parque Central,Montevideo ,Yugoslavia,2,1,Brazil, ,24059,2,0,1093
1930,14 Jul 1930 - 14:50 ,Group 3,Pocitos,Montevideo ,Romania,3,1,Peru, ,2549,1,0,1098
1930,15 Jul 1930 - 16:00 ,Group 1,Parque Central,Montevideo ,Argentina,1,0,France, ,23409,0,0,1085
1930,16 Jul 1930 - 14:45 ,Group 1,Parque Central,Montevideo ,Chile,3,0,Mexico, ,9249,1,0,1095
1930,17 Jul 1930 - 12:45 ,Group 2,Parque Central,Montevideo ,Yugoslavia,4,0,Bolivia, ,18306,0,0,1092
1930,17 Jul 1930 - 14:45 ,Group 4,Parque Central,Montevideo ,USA,3,0,Paraguay, ,18306,2,0,1097
1930,18 Jul 1930 - 14:30 ,Group 3,Estadio Centenario,Montevideo ,Uruguay,1,0,Peru, ,57735,0,0,1099
1930,19 Jul 1930 - 12:50 ,Group 1,Estadio Centenario,Montevideo ,Chile,1,0,France, ,2000,0,0,1094
1930,19 Jul 1930 - 15:00 ,Group 1,Estadio Centenario,Montevideo ,Argentina,6,3,Mexico, ,42100,3,1,1086
1930,20 Jul 1930 - 13:00 ,Group 2,Estadio Centenario,Montevideo ,Brazil,4,0,Bolivia, ,25466,1,0,1091
1930,20 Jul 1930 - 15:00 ,Group 4,Estadio Centenario,Montevideo ,Paraguay,1,0,Belgium, ,12000,1,0,1089
1930,21 Jul 1930 - 14:50 ,Group 3,Estadio Centenario,Montevideo ,Uruguay,4,0,Romania, ,70022,4,0,1100
