Ticker,EPS Estimate,EPS Actual,GICS_SECTOR_NAME,,
1 HK Equity,8.246,8.55,Industrials,,
1038 HK Equity,4.201,3.82,Utilities,,
11 HK Equity,8.538333333,8.3,Financials,,
1128 HK Equity,0.36047619,0.28,Consumer Discretionary,,
1299 HK Equity,0.317142857,0.3478,Financials,,
142 HK Equity,0.072,0.0242,Financials,,
1605 JT Equity,20.984,11.49,Energy,,
1801 JT Equity,288.7700043,329.25,Industrials,,
1802 JT Equity,84.53,88.36,Industrials,,
1803 JT Equity,73.33,75.61,Industrials,,
1812 JT Equity,67.79,69.66,Industrials,,
1928 HK Equity,0.164,0.1517,Consumer Discretionary,,
1928 JT Equity,142.3507143,120.16,Consumer Discretionary,,
1963 JT Equity,189.3863636,169.6,Industrials,,
1COV GY Equity,3.689166667,3.93,Materials,,
2 HK Equity,4.778,5.03,Utilities,,
2002 JT Equity,60.26666667,58.25,Consumer Staples,,
2121 JT Equity,708.5185714,734.59,Information Technology,,
2181 JT Equity,73.88857143,75.76,Industrials,,
2212 JT Equity,83.49,82.82,Consumer Staples,,
2229 JT Equity,122.1855556,125.88,Consumer Staples,,
2267 JT Equity,183.4833333,174.54,Consumer Staples,,
2269 JT Equity,393.8845455,425.06,Consumer Staples,,
2282 HK Equity,0.734347826,0.8,Consumer Discretionary,,
2282 JT Equity,132.555,106.92,Consumer Staples,,
23 HK Equity,1.342,1.21,Financials,,
2331 JT Equity,177.18625,177.77,Industrials,,
2371 JT Equity,59.10357143,59.59,Information Technology,,
2388 HK Equity,5.025555556,5.2496,Financials,,
2413 JT Equity,38.61,38.66,Health Care,,
2432 JT Equity,89.08769231,78.76,Information Technology,,
2433 JT Equity,62.1925,76.56,Consumer Discretionary,,
2502 JT Equity,188.5142857,194.75,Consumer Staples,,
2503 JT Equity,106.0266667,129.49,Consumer Staples,,
2579 JT Equity,111.38,48.05,Consumer Staples,,
2587 JT Equity,136.1909091,149.05,Consumer Staples,,
2638 HK Equity,0.381428571,0.4073,Utilities,,
2651 JT Equity,366.2792857,313.81,Consumer Staples,,
2670 JT Equity,320.546,331.17,Consumer Discretionary,,
27 HK Equity,1.364230769,1.473,Consumer Discretionary,,
2702 JT Equity,24.87,40.37,Consumer Discretionary,,
2784 JT Equity,136.6333333,158.99,Health Care,,
2801 JT Equity,104.2828571,102.67,Consumer Staples,,
2802 JT Equity,105.55,121.23,Consumer Staples,,
2875 JT Equity,181.455,179.81,Consumer Staples,,
288 HK Equity,0.0635,0.0758,Consumer Staples,,
2897 JT Equity,234.4942857,245.52,Consumer Staples,,
2914 JT Equity,234.9358824,235.47,Consumer Staples,,
3 HK Equity,0.554285726,0.524545455,Utilities,,
3086 JT Equity,100.08,100.42,Consumer Discretionary,,
3092 JT Equity,36.42625,37.46,Consumer Discretionary,,
3099 JT Equity,69.988,67.41,Consumer Discretionary,,
3291 JT Equity,157.644,225.1,Consumer Discretionary,,
3382 JT Equity,207.6966667,182.02,Consumer Staples,,
3391 JT Equity,415.7788889,405.73,Consumer Staples,,
3401 JT Equity,192.3675029,158.15,Materials,,
3402 JT Equity,56.02692308,56.38,Materials,,
3405 JT Equity,113.431,114.98,Materials,,
3407 JT Equity,65.86909091,65.69,Materials,,
3436 JT Equity,20.59823529,22.46,Information Technology,,
3659 JT Equity,63.42428571,46.26,Information Technology,,
3861 JT Equity,25.18555556,12.86,Materials,,
388 HK Equity,5.016153846,4.76,Financials,,
3938 JT Equity,39.063,34.84,Information Technology,,
4005 JT Equity,51.65461538,49.84,Materials,,
4021 JT Equity,144.642,143.37,Materials,,
4042 JT Equity,132.7288889,125.22,Materials,,
4063 JT Equity,336.6393333,349.46,Materials,,
4088 JT Equity,110.4566667,102.73,Materials,,
4091 JT Equity,63.6025,67.08,Materials,,
4118 JT Equity,63.17142857,62.98,Materials,,
4151 JT Equity,35.65666667,34.12,Health Care,,
4182 JT Equity,138.46,153.84,Materials,,
